sedzia_id;sedzia_imie_nazwisko
R1;M Clattenburg
R2;M Oliver
R3;M Jones
R4;L Mason
R5;J Moss
R6;S Hooper
R7;M Atkinson
R8;C Pawson
R9;A Taylor
R10;M Dean
R11;K Friend
R12;R Madley
R13;P Tierney
R14;K Stroud
R15;N Swarbrick
R16;A Marriner
R17;S Attwell
R18;R East
R19;G Scott
